Order_No,Time from Pickup to Arrival
Order_No_19248,1404.197520193302
Order_No_12736,1878.4795546509777
Order_No_768,1081.5703947120055
Order_No_15332,1861.9778424094038
Order_No_21373,1635.020215217628
Order_No_14573,2008.663062581145
Order_No_6731,1635.2401274987133
Order_No_18436,1944.1829649326173
Order_No_2288,1595.203426664215
Order_No_9063,1460.9814272460135
Order_No_4814,895.9882872053422
Order_No_16747,1118.2894064169086
Order_No_6376,1008.7495774239287
Order_No_1199,1011.6046690861549
Order_No_17119,1338.3313384374414
Order_No_14832,1103.94672170993
Order_No_12321,1108.580766642408
Order_No_24820,1894.3663354552555
Order_No_6065,1155.5527669122312
Order_No_13176,2094.597995483404
Order_No_23557,1134.3288724150552
Order_No_20488,2003.7009202645859
Order_No_24214,1306.5812836366094
Order_No_21206,1252.2672737101966
Order_No_1930,1215.1848152617094
Order_No_28180,1258.7047209501106
Order_No_13329,1600.686493093839
Order_No_19004,1801.8879979801786
Order_No_27510,1120.0340437493578
Order_No_25394,1051.079666872247
Order_No_11299,1258.663764443365
Order_No_21269,2096.1955210833476
Order_No_3565,1076.0924378682685
Order_No_6473,1266.34253300634
Order_No_6258,1334.813845412522
Order_No_27480,1355.6443924429987
Order_No_23302,1169.9546306002303
Order_No_16731,1791.6042396534685
Order_No_21353,2373.5066547357856
Order_No_10610,969.1159753533284
Order_No_5930,786.1516663333532
Order_No_5171,1496.2905226634612
Order_No_21590,1550.3490484043941
Order_No_643,1244.3103297281123
Order_No_6308,1546.1278357969059
Order_No_16885,1118.8701790921987
Order_No_5421,1809.9453800376577
Order_No_21864,1301.8082923347974
Order_No_11618,2404.2676851808937
Order_No_27514,1176.2219998535584
Order_No_26356,1517.7476982487278
Order_No_20174,1723.9055945256332
Order_No_23193,1443.205451842805
Order_No_17568,1108.295215276703
Order_No_25549,2505.5297779680404
Order_No_23942,1583.88838603576
Order_No_25817,2159.3907464465738
Order_No_16582,1509.0268067520374
Order_No_25259,1598.165524097065
Order_No_7311,1791.8047919289456
Order_No_6198,1151.5566145187404
Order_No_18810,1771.2676599276383
Order_No_26162,1508.932015729988
Order_No_4192,1137.1044594838386
Order_No_28224,1184.2899165061463
Order_No_15612,1302.3214529665056
Order_No_21556,1606.979844704787
Order_No_15698,1838.7151285283835
Order_No_2619,1116.2142831193996
Order_No_10710,744.8224532087188
Order_No_17906,1242.7917685051143
Order_No_24831,2125.9235979137884
Order_No_15312,2396.232525293868
Order_No_17599,965.0242920004166
Order_No_8759,1641.3499628889404
Order_No_18102,2497.912477173064
Order_No_19596,2003.9677049201564
Order_No_18174,1354.382433109553
Order_No_18641,1342.0834997362108
Order_No_7568,3150.0053134374284
Order_No_23561,1571.241354784368
Order_No_21212,996.6738558012876
Order_No_19352,1624.5922809397453
Order_No_13038,1648.9582222733152
Order_No_14688,1299.4628998826884
Order_No_5155,1804.6097960259067
Order_No_26963,2184.065445322216
Order_No_25662,1329.715466050111
Order_No_22324,1437.2369120522853
Order_No_4080,1723.5051976312025
Order_No_2551,1411.3492306228145
Order_No_6576,2129.417341613291
Order_No_23150,1464.8084482980557
Order_No_12488,2106.589057442725
Order_No_14209,2815.475727952078
Order_No_14944,1425.6206083906945
Order_No_105,1574.732583272722
Order_No_6400,2046.4261026772656
Order_No_23670,1481.9367037756965
Order_No_11927,1032.2276584846331
Order_No_672,1574.539663440737
Order_No_24305,1701.348024365274
Order_No_23438,1728.1869733511994
Order_No_11297,1329.6084394133868
Order_No_25875,2930.1394507027726
Order_No_2483,909.853646274416
Order_No_22525,1539.8631380304723
Order_No_85,2460.3590538369317
Order_No_25252,888.4703419198268
Order_No_16007,1199.9805678448392
Order_No_10988,1486.4487498016824
Order_No_15321,1111.1027400471648
Order_No_16080,1020.6302593126966
Order_No_11090,871.1509935123686
Order_No_21090,2247.347513868408
Order_No_1621,1420.5215471796982
Order_No_24456,2149.494944522601
Order_No_5036,1014.9385844765056
Order_No_15675,1137.1215165336325
Order_No_5672,1434.2104158332804
Order_No_4333,1062.1311727546927
Order_No_20768,1742.5264374901235
Order_No_12336,1992.1971130240345
Order_No_12293,2005.604497403001
Order_No_6103,1649.7603860247036
Order_No_25920,1352.9632448234552
Order_No_2159,1400.6927715874335
Order_No_13215,1261.7396117869357
Order_No_15620,1464.0451532340812
Order_No_27406,2380.8586653632738
Order_No_3092,1295.5129629829535
Order_No_21088,2730.0503369457947
Order_No_6448,1488.748136055925
Order_No_23769,1740.348773761034
Order_No_2640,2346.436699623853
Order_No_19108,2148.517012203425
Order_No_2796,1487.0525191461857
Order_No_16473,1542.0959855560504
Order_No_2754,775.3845754208523
Order_No_2678,2272.71558505173
Order_No_12053,1998.1358749951833
Order_No_17071,1739.6775807164158
Order_No_4656,1392.2327148476688
Order_No_27607,1266.1563861786344
Order_No_6709,1354.1129178556148
Order_No_25036,1377.11371300881
Order_No_16694,2320.5193018669306
Order_No_24366,960.775031292651
Order_No_9590,661.0203408535745
Order_No_5658,1839.9994923126505
Order_No_13152,2185.1445878685117
Order_No_27538,1849.2777175300216
Order_No_2782,1584.2991835163848
Order_No_1311,1907.9166079217248
Order_No_10249,1583.3276047687978
Order_No_2624,2326.548773013914
Order_No_27601,1387.636421184572
Order_No_4252,3391.5602941913785
Order_No_22149,1407.42356141474
Order_No_2699,1902.8509072939196
Order_No_12371,914.1276153372964
Order_No_14848,1680.164063080978
Order_No_10438,1021.1807956413104
Order_No_23513,1235.7499644409545
Order_No_9878,1202.8377359228762
Order_No_9218,998.6451435393974
Order_No_28256,1221.2053525645315
Order_No_25676,875.029022630064
Order_No_26922,1577.4640317728263
Order_No_7589,1044.8858751881125
Order_No_124,1429.5978816410206
Order_No_14779,898.3025465316459
Order_No_26218,1935.3781429977025
Order_No_19977,800.1275183094331
Order_No_14440,2117.764003749573
Order_No_9561,2648.0824634103155
Order_No_9009,794.9060622726392
Order_No_20146,881.8166463022062
Order_No_7718,2522.961491668386
Order_No_16083,2275.3536982297446
Order_No_3126,1059.2380701899092
Order_No_801,1390.3138140944066
Order_No_5373,1433.812838101585
Order_No_7421,2169.2188076578022
Order_No_602,2064.4034576425693
Order_No_9418,1083.3424527488896
Order_No_27144,1275.4947455407819
Order_No_16792,1117.1332873291394
Order_No_21252,1887.5682686253422
Order_No_21129,1988.992535333542
Order_No_18774,1353.0880046655875
Order_No_20974,1166.2271123821629
Order_No_5267,941.4928933602932
Order_No_25107,2446.880161724628
Order_No_611,1217.6772716719643
Order_No_13596,1171.1962166214144
Order_No_465,1563.9569662979702
Order_No_2236,1168.3783361468231
Order_No_3411,1179.0783551726636
Order_No_17613,1881.483573955753
Order_No_27381,1002.2811296155851
Order_No_26072,799.4228779824625
Order_No_19414,1032.4781498226876
Order_No_21954,1139.8904952377707
Order_No_22538,960.4263475100233
Order_No_10756,1630.7171527251921
Order_No_23756,1393.308763069399
Order_No_3807,1585.4796815899754
Order_No_18694,1751.9951615722966
Order_No_27245,1739.2582268633923
Order_No_12437,1990.949312883742
Order_No_27751,899.8209723773834
Order_No_22832,1771.1194223120183
Order_No_3904,2532.0663741625467
Order_No_5230,996.5167344996225
Order_No_13968,1787.5046952327684
Order_No_23129,1250.1849324322175
Order_No_25454,677.1904954581987
Order_No_25963,1414.8379975305143
Order_No_13552,1510.5734457541548
Order_No_2495,1030.6081785938732
Order_No_5081,967.2156789625442
Order_No_2922,921.4356579199593
Order_No_2016,950.7423478272904
Order_No_1104,1683.0710874251454
Order_No_27980,1041.236551128568
Order_No_26414,1151.4082721520172
Order_No_22882,1536.4906666820534
Order_No_18730,2032.2639440298299
Order_No_22573,1577.071217611614
Order_No_3483,1291.9834287704143
Order_No_23613,1655.0353857619484
Order_No_13591,1044.0073058223497
Order_No_11271,1403.7468561867136
Order_No_26896,868.1889994292069
Order_No_8184,2454.825491884876
Order_No_19027,1388.2599364327616
Order_No_1146,1399.8641755197968
Order_No_192,1742.9265352129587
Order_No_14758,1441.708281007268
Order_No_23931,1357.0116388441093
Order_No_9924,862.0431891904664
Order_No_21201,2048.397477634775
Order_No_12726,1870.9800373589023
Order_No_25899,1337.1756769279018
Order_No_26621,2752.697001042663
Order_No_17483,937.7071362933784
Order_No_2943,1346.235259470217
Order_No_6923,1449.6380324908532
Order_No_181,1548.9314961937125
Order_No_19543,1405.908249929329
Order_No_11022,1330.9036959866135
Order_No_16940,734.969726900279
Order_No_22316,1880.1681643539341
Order_No_24662,1684.6158039197326
Order_No_7034,1629.4209203388527
Order_No_13090,1291.952393030544
Order_No_761,1442.994014814598
Order_No_25720,1110.3160643207666
Order_No_12467,950.291807201771
Order_No_16527,1584.7726713849697
Order_No_15886,1135.7908328975172
Order_No_14129,957.7884732883831
Order_No_22079,698.143736984297
Order_No_9552,2698.1148710917623
Order_No_28093,1208.1050510965506
Order_No_3167,2197.9267510629797
Order_No_18111,1272.4146580508313
Order_No_10981,1514.9891960402674
Order_No_17959,1078.9920468842683
Order_No_19855,1083.22398426172
Order_No_21278,1400.8557727026564
Order_No_5819,1320.1263349596775
Order_No_26651,1568.8089173533954
Order_No_6273,1487.2362875653198
Order_No_15656,841.6435854113734
Order_No_22,1244.616708512549
Order_No_17367,1560.1869699819144
Order_No_257,1577.5154508169217
Order_No_15175,1218.9916641748496
Order_No_546,1506.2863236981939
Order_No_20915,825.2391250344444
Order_No_22885,831.5486633835026
