Order_No,Time from Pickup to Arrival
Order_No_19248,806
Order_No_12736,924
Order_No_768,1069
Order_No_15332,1478
Order_No_21373,1205
Order_No_14573,1379
Order_No_6731,893
Order_No_18436,1406
Order_No_2288,1803
Order_No_9063,584
Order_No_4814,999
Order_No_16747,947
Order_No_6376,604
Order_No_1199,747
Order_No_17119,793
Order_No_14832,298
Order_No_12321,677
Order_No_24820,1561
Order_No_6065,940
Order_No_13176,905
Order_No_23557,717
Order_No_20488,1071
Order_No_24214,478
Order_No_21206,462
Order_No_1930,672
Order_No_28180,644
Order_No_13329,1578
Order_No_19004,2515
Order_No_27510,2533
Order_No_25394,685
Order_No_11299,482
Order_No_21269,1221
Order_No_3565,729
Order_No_6473,891
Order_No_6258,1067
Order_No_27480,1421
Order_No_23302,682
Order_No_16731,427
Order_No_21353,1961
Order_No_10610,1185
Order_No_5930,504
Order_No_5171,746
Order_No_21590,781
Order_No_643,301
Order_No_6308,689
Order_No_16885,457
Order_No_5421,1018
Order_No_21864,416
Order_No_11618,2543
Order_No_27514,810
Order_No_26356,1671
Order_No_20174,760
Order_No_23193,1466
Order_No_17568,951
Order_No_25549,1320
Order_No_23942,1018
Order_No_25817,2127
Order_No_16582,781
Order_No_25259,903
Order_No_7311,1615
Order_No_6198,1253
Order_No_18810,1530
Order_No_26162,1120
Order_No_4192,252
Order_No_28224,390
Order_No_15612,840
Order_No_21556,1595
Order_No_15698,946
Order_No_2619,383
Order_No_10710,2043
Order_No_17906,1485
Order_No_24831,1115
Order_No_15312,1324
Order_No_17599,827
Order_No_8759,758
Order_No_18102,1395
Order_No_19596,936
Order_No_18174,1184
Order_No_18641,1128
Order_No_7568,2086
Order_No_23561,759
Order_No_21212,657
Order_No_19352,487
Order_No_13038,840
Order_No_14688,1307
Order_No_5155,1056
Order_No_26963,1867
Order_No_25662,1347
Order_No_22324,256
Order_No_4080,501
Order_No_2551,414
Order_No_6576,1223
Order_No_23150,661
Order_No_12488,1357
Order_No_14209,2848
Order_No_14944,474
Order_No_105,421
Order_No_6400,1336
Order_No_23670,1648
Order_No_11927,1375
Order_No_672,847
Order_No_24305,1546
Order_No_23438,923
Order_No_11297,369
Order_No_25875,2032
Order_No_2483,1041
Order_No_22525,1649
Order_No_85,2401
Order_No_25252,858
Order_No_16007,259
Order_No_10988,1681
Order_No_15321,734
Order_No_16080,1603
Order_No_11090,409
Order_No_21090,1771
Order_No_1621,1203
Order_No_24456,1408
Order_No_5036,449
Order_No_15675,801
Order_No_5672,533
Order_No_4333,1445
Order_No_20768,1561
Order_No_12336,1502
Order_No_12293,829
Order_No_6103,755
Order_No_25920,481
Order_No_2159,945
Order_No_13215,440
Order_No_15620,835
Order_No_27406,903
Order_No_3092,1199
Order_No_21088,2780
Order_No_6448,1366
Order_No_23769,695
Order_No_2640,1689
Order_No_19108,1650
Order_No_2796,472
Order_No_16473,536
Order_No_2754,712
Order_No_2678,1084
Order_No_12053,1549
Order_No_17071,890
Order_No_4656,294
Order_No_27607,743
Order_No_6709,990
Order_No_25036,347
Order_No_16694,1260
Order_No_24366,770
Order_No_9590,416
Order_No_5658,1349
Order_No_13152,745
Order_No_27538,1409
Order_No_2782,1963
Order_No_1311,421
Order_No_10249,1069
Order_No_2624,1608
Order_No_27601,792
Order_No_4252,1963
Order_No_22149,1314
Order_No_2699,1626
Order_No_12371,702
Order_No_14848,929
Order_No_10438,439
Order_No_23513,522
Order_No_9878,592
Order_No_9218,1145
Order_No_28256,757
Order_No_25676,753
Order_No_26922,1581
Order_No_7589,1441
Order_No_124,555
Order_No_14779,1363
Order_No_26218,597
Order_No_19977,323
Order_No_14440,299
Order_No_9561,1265
Order_No_9009,1380
Order_No_20146,644
Order_No_7718,1684
Order_No_16083,1292
Order_No_3126,727
Order_No_801,1043
Order_No_5373,1466
Order_No_7421,1563
Order_No_602,2256
Order_No_9418,864
Order_No_27144,1213
Order_No_16792,1028
Order_No_21252,786
Order_No_21129,1890
Order_No_18774,760
Order_No_20974,939
Order_No_5267,414
Order_No_25107,2028
Order_No_611,806
Order_No_13596,601
Order_No_465,1302
Order_No_2236,255
Order_No_3411,1469
Order_No_17613,633
Order_No_27381,235
Order_No_26072,983
Order_No_19414,984
Order_No_21954,766
Order_No_22538,1361
Order_No_10756,870
Order_No_23756,721
Order_No_3807,741
Order_No_18694,915
Order_No_27245,1068
Order_No_12437,944
Order_No_27751,569
Order_No_22832,979
Order_No_3904,1538
Order_No_5230,822
Order_No_13968,1951
Order_No_23129,1173
Order_No_25454,558
Order_No_25963,1079
Order_No_13552,878
Order_No_2495,958
Order_No_5081,989
Order_No_2922,469
Order_No_2016,1543
Order_No_1104,626
Order_No_27980,2480
Order_No_26414,959
Order_No_22882,503
Order_No_18730,1576
Order_No_22573,1151
Order_No_3483,1212
Order_No_23613,1371
Order_No_13591,621
Order_No_11271,411
Order_No_26896,1153
Order_No_8184,1797
Order_No_19027,588
Order_No_1146,879
Order_No_192,998
Order_No_14758,817
Order_No_23931,1138
Order_No_9924,829
Order_No_21201,994
Order_No_12726,1084
Order_No_25899,635
Order_No_26621,945
Order_No_17483,825
Order_No_2943,249
Order_No_6923,1542
Order_No_181,2554
Order_No_19543,1635
Order_No_11022,1154
Order_No_16940,649
Order_No_22316,1705
Order_No_24662,581
Order_No_7034,2112
Order_No_13090,733
Order_No_761,1024
Order_No_25720,464
Order_No_12467,971
Order_No_16527,352
Order_No_15886,1228
Order_No_14129,666
Order_No_22079,243
Order_No_9552,2152
Order_No_28093,502
Order_No_3167,1959
Order_No_18111,741
Order_No_10981,1013
Order_No_17959,1159
Order_No_19855,756
Order_No_21278,2075
Order_No_5819,1291
Order_No_26651,922
Order_No_6273,522
Order_No_15656,1232
Order_No_22,301
Order_No_17367,1306
Order_No_257,1597
Order_No_15175,836
Order_No_546,649
Order_No_20915,522
Order_No_22885,352
Order_No_4613,505
Order_No_5473,1816
Order_No_4698,1266
Order_No_5638,629
Order_No_20471,1518
Order_No_17954,1197
Order_No_14468,754
Order_No_2968,1692
Order_No_24419,764
Order_No_7674,937
Order_No_26560,896
Order_No_15611,826
Order_No_15085,739
Order_No_1440,912
Order_No_18237,623
Order_No_8092,1224
Order_No_529,741
Order_No_22717,742
Order_No_3509,808
Order_No_26201,905
Order_No_20497,535
Order_No_12558,1027
Order_No_23463,982
Order_No_18978,307
Order_No_5508,1021
Order_No_11317,797
Order_No_13632,1171
Order_No_3751,566
Order_No_27592,668
Order_No_25276,893
Order_No_18188,959
Order_No_27593,1011
Order_No_2022,518
Order_No_4713,1280
Order_No_23001,981
Order_No_9222,940
Order_No_3417,1335
Order_No_3133,1039
Order_No_1571,1601
Order_No_14300,1642
Order_No_4825,194
Order_No_26248,689
Order_No_22868,1350
Order_No_793,225
Order_No_891,1276
