Order_No,Time from Pickup to Arrival
Order_No_19248,1768.0835245932676
Order_No_12736,1488.2444346452653
Order_No_768,1726.4644088727111
Order_No_15332,1166.5249978598904
Order_No_21373,1110.111097367073
Order_No_14573,1955.3077233325262
Order_No_6731,2309.6133586268534
Order_No_18436,1629.119361896435
Order_No_2288,1428.2464182572296
Order_No_9063,2129.45195543819
Order_No_4814,878.4992273142058
Order_No_16747,2754.043697649812
Order_No_6376,1577.4444566939455
Order_No_1199,1567.8100935966515
Order_No_17119,1588.4672223468929
Order_No_14832,1409.8864303752055
Order_No_12321,830.2325589960151
Order_No_24820,1438.1633090543714
Order_No_6065,1173.963720219353
Order_No_13176,370.131313325384
Order_No_23557,932.5536118124852
Order_No_20488,1974.0806429557292
Order_No_24214,1607.0939610420594
Order_No_21206,1806.5242242202087
Order_No_1930,524.0135283975144
Order_No_28180,2359.144597538766
Order_No_13329,479.0460079003223
Order_No_19004,932.4182490710339
Order_No_27510,2315.0521188346456
Order_No_25394,1615.468108643079
Order_No_11299,1904.9109988144721
Order_No_21269,1438.9567820309494
Order_No_3565,2619.8064726375596
Order_No_6473,1496.8844042328926
Order_No_6258,365.22683933801864
Order_No_27480,2052.0546007034995
Order_No_23302,2307.4325412920234
Order_No_16731,1658.442477933323
Order_No_21353,1949.9156545313037
Order_No_10610,1157.1268387201221
Order_No_5930,1590.8839330858223
Order_No_5171,1974.5329017772833
Order_No_21590,1789.5399075986538
Order_No_643,1000.3249508782616
Order_No_6308,1424.4596730837927
Order_No_16885,1820.090807469903
Order_No_5421,1872.6610392023542
Order_No_21864,2414.1790313163433
Order_No_11618,1258.534159334135
Order_No_27514,2556.1892698324687
Order_No_26356,1561.2079925860046
Order_No_20174,1148.8591525967454
Order_No_23193,2903.7472511085157
Order_No_17568,940.1611367329666
Order_No_25549,1559.555759387017
Order_No_23942,1237.3290444433037
Order_No_25817,1464.7047252419611
Order_No_16582,2911.9181592132577
Order_No_25259,2105.1684806682115
Order_No_7311,1140.282642775918
Order_No_6198,1313.6043898914297
Order_No_18810,1302.5374670241956
Order_No_26162,949.8133419817312
Order_No_4192,1298.0500650049707
Order_No_28224,1125.62164040698
Order_No_15612,555.1873787546749
Order_No_21556,2071.435050448578
Order_No_15698,2157.927067485365
Order_No_2619,1990.2852697769263
Order_No_10710,1443.316176158403
Order_No_17906,1758.8329614400268
Order_No_24831,1325.7379687783457
Order_No_15312,2765.594259164906
Order_No_17599,1429.2101763014994
Order_No_8759,575.189032727619
Order_No_18102,2231.7782072360483
Order_No_19596,1451.4190093800833
Order_No_18174,1266.6843612480748
Order_No_18641,2557.119074449292
Order_No_7568,830.5979221863969
Order_No_23561,1284.309674966355
Order_No_21212,661.9882190064939
Order_No_19352,3211.9454682033547
Order_No_13038,2363.8040504191463
Order_No_14688,1528.41503302959
Order_No_5155,900.8127753947482
Order_No_26963,1190.0015875309778
Order_No_25662,2257.9346223378748
Order_No_22324,1376.4708021090307
Order_No_4080,1390.9492061655183
Order_No_2551,1408.8525614239393
Order_No_6576,1736.872429836955
