Order_No,Time from Pickup to Arrival
Order_No_19248,1737.7163969065673
Order_No_12736,1392.5463327049138
Order_No_768,1656.320635007738
Order_No_15332,1206.4494800039731
Order_No_21373,1071.5758286015168
Order_No_14573,2034.371808522788
Order_No_6731,2463.298695198307
Order_No_18436,1544.8024859871664
Order_No_2288,1420.6537585123274
Order_No_9063,2087.4614447749054
Order_No_4814,871.1753582057302
Order_No_16747,3205.8677668621435
Order_No_6376,1614.1582820174192
Order_No_1199,1547.6713757397017
Order_No_17119,1570.2465687005488
Order_No_14832,1492.8641676726486
Order_No_12321,827.4508646867727
Order_No_24820,1507.6258431381423
Order_No_6065,1252.7209986398773
Order_No_13176,388.3348591613751
Order_No_23557,932.7851747030194
Order_No_20488,1949.7744514448643
Order_No_24214,1552.8893702859382
Order_No_21206,1843.5793012579343
Order_No_1930,580.9329018229046
Order_No_28180,2577.95576159908
Order_No_13329,495.1394913897464
Order_No_19004,935.0267025722694
Order_No_27510,2183.777144262423
Order_No_25394,1782.2240378686383
Order_No_11299,1912.7074573900645
Order_No_21269,1578.6030678462816
Order_No_3565,2797.4931287186414
Order_No_6473,1506.1394695785184
Order_No_6258,343.20356270476975
Order_No_27480,1832.4893581110473
Order_No_23302,2380.184334842642
Order_No_16731,1721.026251956249
Order_No_21353,1622.8084903861136
Order_No_10610,1053.6048172027058
Order_No_5930,1500.3957247389717
Order_No_5171,1984.4559011432439
Order_No_21590,1883.3901876417708
Order_No_643,999.2409680227221
Order_No_6308,1262.8650493310463
Order_No_16885,2029.8875735537288
Order_No_5421,1859.4608326605328
Order_No_21864,2286.104104788752
Order_No_11618,1014.2467759298179
Order_No_27514,2477.2252832429112
Order_No_26356,1493.4308499111544
Order_No_20174,1217.2274901000403
Order_No_23193,2585.0083073339447
Order_No_17568,989.6311579105912
Order_No_25549,1565.5264198098987
Order_No_23942,1315.7455580925166
Order_No_25817,1519.506400405875
Order_No_16582,2823.900069334694
Order_No_25259,2229.627055459469
Order_No_7311,1285.7744907761705
Order_No_6198,1350.7722102653074
Order_No_18810,1320.0982607097635
Order_No_26162,960.5856441816552
Order_No_4192,1288.047394043572
Order_No_28224,1054.6642920099337
Order_No_15612,656.6086608680176
Order_No_21556,2101.149943958288
Order_No_15698,2177.0566793587227
Order_No_2619,1990.994724323706
Order_No_10710,1365.1102216498912
Order_No_17906,1750.2711187348968
Order_No_24831,1273.2836163804036
Order_No_15312,2865.61648724717
Order_No_17599,1267.6563731474503
Order_No_8759,545.1511204391172
Order_No_18102,2170.248090724891
Order_No_19596,1613.4422692262292
Order_No_18174,1288.2379527684723
Order_No_18641,2549.86660491044
Order_No_7568,744.1797030236803
Order_No_23561,1372.459517780562
Order_No_21212,703.758633230687
Order_No_19352,3268.4962381967457
Order_No_13038,2239.503022154548
Order_No_14688,1565.3981042161813
Order_No_5155,829.6976598816309
Order_No_26963,1406.153041080153
Order_No_25662,2271.4902227714038
Order_No_22324,1407.2280828538085
Order_No_4080,1392.635672828372
Order_No_2551,1494.9107244898184
Order_No_6576,1671.1481403860944
Order_No_23150,1999.2974903784598
Order_No_12488,1805.6593801509425
Order_No_14209,659.1466995334606
Order_No_14944,1688.1888007500886
Order_No_105,1163.7873538650786
Order_No_6400,1707.8933779543852
Order_No_23670,716.4841937309312
Order_No_11927,2366.123230412899
Order_No_672,2144.3284566810776
Order_No_24305,1253.8008644841343
Order_No_23438,534.718790210171
Order_No_11297,2647.060050022615
Order_No_25875,1032.8848529870825
Order_No_2483,1517.2984989697939
Order_No_22525,2559.1646355707126
Order_No_85,1487.7874553666245
Order_No_25252,1229.5668848909359
Order_No_16007,2143.1824174578815
Order_No_10988,1640.260189726319
Order_No_15321,2182.814352304811
Order_No_16080,763.659534576308
Order_No_11090,1103.8475575588811
Order_No_21090,1284.3021679710905
Order_No_1621,1344.3372536490785
Order_No_24456,1804.221579923539
Order_No_5036,1456.9406784607495
Order_No_15675,1783.8987997576628
Order_No_5672,1520.2150078193995
Order_No_4333,227.8818617597519
Order_No_20768,1336.0438894898323
Order_No_12336,1778.8439789388717
Order_No_12293,1811.1898733209184
Order_No_6103,1410.5108979816441
Order_No_25920,970.8949435713698
Order_No_2159,1584.118586856985
Order_No_13215,544.4118681815364
Order_No_15620,2102.061735362892
Order_No_27406,523.8101884727946
Order_No_3092,2842.1289595560374
Order_No_21088,636.5712859129017
Order_No_6448,1502.5851777041755
Order_No_23769,1210.7845647816605
Order_No_2640,1377.5912360731272
Order_No_19108,1610.9948985855947
Order_No_2796,2314.4017463154414
Order_No_16473,1237.3397090271753
Order_No_2754,1460.680565847426
Order_No_2678,1378.5224894623943
Order_No_12053,2424.3256280986434
Order_No_17071,1409.2152272594765
Order_No_4656,1021.4225035593231
Order_No_27607,1825.615025442863
Order_No_6709,1649.2094084687467
Order_No_25036,1332.5661387699402
Order_No_16694,812.6909243770452
Order_No_24366,1989.693906236497
Order_No_9590,1623.7538610927763
Order_No_5658,1518.4432297243438
Order_No_13152,461.10806807846143
Order_No_27538,1633.5912471241745
Order_No_2782,1167.0240542924143
Order_No_1311,-1.5640188863099793
Order_No_10249,2432.2871323248273
Order_No_2624,2237.5636733513534
Order_No_27601,1489.796727865272
Order_No_4252,1685.1550820274097
Order_No_22149,1997.374350414477
Order_No_2699,2801.5292885337253
Order_No_12371,1515.5109374337362
Order_No_14848,1051.6403898906965
Order_No_10438,1480.7773214528727
Order_No_23513,1767.378942112152
Order_No_9878,1473.4019893511786
Order_No_9218,1205.2275490340685
Order_No_28256,1943.4639511040891
Order_No_25676,772.8360831581225
Order_No_26922,1818.9881084409471
Order_No_7589,739.1058457730888
Order_No_124,429.5723150119871
Order_No_14779,1292.2089143558353
Order_No_26218,1128.1486863965965
Order_No_19977,1136.6824767720739
Order_No_14440,1594.7673295788381
Order_No_9561,1329.959105925762
Order_No_9009,1107.495590331331
Order_No_20146,1425.8424749082096
Order_No_7718,1575.9985356224217
Order_No_16083,1449.67723071288
Order_No_3126,1051.4929347743985
Order_No_801,643.1645417683951
Order_No_5373,1514.1993201183773
Order_No_7421,466.46134956649917
Order_No_602,2583.3278526139884
Order_No_9418,1410.1946901227582
Order_No_27144,1404.9391751501164
Order_No_16792,530.2028946779944
Order_No_21252,1567.9719125774116
Order_No_21129,1810.0809693582437
Order_No_18774,2031.1077644195045
Order_No_20974,1608.198559561552
Order_No_5267,1063.1065457427594
Order_No_25107,1318.0481627640165
Order_No_611,2259.248881637416
Order_No_13596,1587.8838879864138
Order_No_465,600.5967929884179
Order_No_2236,2371.364720548177
Order_No_3411,711.4116254472599
Order_No_17613,1103.976652263906
Order_No_27381,1343.2218904504887
Order_No_26072,2459.9692581741574
Order_No_19414,1732.8462320084966
Order_No_21954,2756.9218788668204
Order_No_22538,2017.4960429210112
Order_No_10756,1936.9874170938608
Order_No_23756,1896.5294700486659
Order_No_3807,2122.5808650450003
Order_No_18694,1549.5710587957738
Order_No_27245,1121.9895822202404
Order_No_12437,807.5636828178738
Order_No_27751,1181.1106715942724
Order_No_22832,1262.7620977766726
Order_No_3904,1255.4268382002613
Order_No_5230,838.5632196034817
Order_No_13968,607.0040402899714
Order_No_23129,572.8636208552414
Order_No_25454,1684.9783377556232
Order_No_25963,1489.8120183603119
Order_No_13552,1342.2826826817534
Order_No_2495,1494.0448738612297
Order_No_5081,1400.0745237919593
Order_No_2922,1464.5654383475214
Order_No_2016,1595.3286867834395
Order_No_1104,1488.3626996155472
Order_No_27980,758.9493508077559
Order_No_26414,2004.2701014192612
Order_No_22882,2821.580558039818
Order_No_18730,2208.307243703594
Order_No_22573,1585.2646985551346
Order_No_3483,1542.7308745574398
Order_No_23613,1573.7537063927452
Order_No_13591,1564.9673029851995
Order_No_11271,1803.5031105182668
Order_No_26896,1636.1302249648345
Order_No_8184,904.8865859759793
Order_No_19027,2570.847857477195
Order_No_1146,1402.9196190887765
Order_No_192,1001.5347350883844
Order_No_14758,706.7928450790752
Order_No_23931,1039.250384675314
Order_No_9924,1624.2974681408562
Order_No_21201,1361.9441542806621
Order_No_12726,622.2784476223069
Order_No_25899,541.8175805798666
Order_No_26621,1434.6123111621387
Order_No_17483,1506.8775677185163
Order_No_2943,1918.4174730770703
Order_No_6923,811.4106551274638
Order_No_181,2549.008876255582
Order_No_19543,2035.5392566660348
Order_No_11022,1571.4027723512315
Order_No_16940,1718.3069543342729
Order_No_22316,2106.3957692641934
Order_No_24662,1400.1844271157502
Order_No_7034,2328.0694047307356
Order_No_13090,1491.630157050949
Order_No_761,598.7199004586671
Order_No_25720,1581.9163567980806
Order_No_12467,2127.18445389458
Order_No_16527,531.1014282067233
Order_No_15886,1540.7581961429682
Order_No_14129,1427.4755763084681
